packet_index,tick,record_offset,corrected_path,embedded_path,length,fnv32
144372,950,159269161,2,1,48,6b770a65
144373,950,159269227,1,1,2752,db22afac
144374,950,159271997,1,1,2848,2d512e93
144375,950,159274863,1,1,2656,3765e0a9
144376,950,159277537,1,1,1744,37da37ec
144377,950,159279299,1,1,2704,f0de1f8d
144378,950,159282021,1,1,2800,c26a1459
144379,950,159284839,1,1,2752,a2c52e37
144380,950,159287609,1,1,2608,f9564392
144381,950,159290235,1,1,304,a18f82f5
144382,950,159290557,1,1,2656,88dd0379
144383,950,159293231,1,1,2656,18d786bf
144384,950,159295905,1,1,2752,e307f0c3
144385,950,159298675,1,1,2752,67ce324f
144386,950,159301445,1,1,2704,448addb7
144387,950,159304167,1,1,2704,df6c5e69
144388,950,159306889,1,1,2608,a26112af
144389,950,159309515,1,1,2704,e8aeefc3
144390,950,159312237,1,1,2704,e3ef2125
144391,950,159314959,1,1,736,9b0e031c
144392,950,159315713,1,1,2608,301c8c08
144393,950,159318339,1,1,2704,231c071c
144394,950,159321061,1,1,2560,aa70082f
144395,950,159323639,1,1,736,ed74e8b1
144396,950,159324393,1,1,2608,0204cbbd
144397,950,159327019,1,1,2752,f5ec43f7
144398,950,159329789,1,1,160,602c3dec
144399,950,159329967,1,1,2704,087aef5a
144400,950,159332689,1,1,2032,a9d3a495
144401,950,159334739,1,1,1936,2bb609bb
144402,950,159336693,1,1,2800,5e228516
144403,950,159339511,1,1,2800,0221fe5f
144404,950,159342329,1,1,2704,9118532c
144405,950,159345051,1,1,2752,8d9230a1
144406,950,159347821,1,1,2656,8878e3fd
144407,950,159350495,1,1,2704,b4d670e9
144408,950,159353217,1,1,2752,14a272a7
144409,950,159355987,1,1,2800,54cc4af5
144410,950,159358805,1,1,2608,f02a1492
144411,950,159361431,1,1,2704,c62f1c5c
144412,950,159364153,1,1,2704,a8593af8
144413,950,159366875,1,1,1936,4fd95c3c
